,country,cases
875,China,19
843,Burkina Faso,0
877,China,9
912,Denmark,0
913,Diamond Princess,0
914,Djibouti,0
915,Dominica,0
916,Dominican Republic,0
917,Ecuador,0
918,Egypt,0
919,El Salvador,0
920,Equatorial Guinea,0
921,Eritrea,0
922,Estonia,0
923,Eswatini,0
924,Ethiopia,0
925,Fiji,0
911,Denmark,0
926,Finland,0
928,France,0
929,France,0
930,France,0
931,France,0
932,France,0
933,France,0
934,France,0
935,France,0
936,France,0
937,France,3
938,Gabon,0
939,Gambia,0
940,Georgia,0
876,China,8
927,France,0
910,Denmark,0
941,Germany,0
908,Cyprus,0
909,Czechia,0
879,China,5
880,China,761
881,China,43
882,China,7
883,China,18
884,China,18
885,China,4
886,China,17
887,China,2
888,China,3
889,China,1
890,China,15
891,China,27
892,China,33
878,China,32
894,China,28
893,China,6
907,Cuba,0
906,Croatia,0
905,Cote d'Ivoire,0
903,Congo (Kinshasa),0
902,Congo (Brazzaville),0
904,Costa Rica,0
900,Colombia,0
899,China,62
898,China,11
897,China,3
896,China,0
895,China,10
901,Comoros,0
1259,Mexico,0
1263,Montenegro,0
1262,Mongolia,0
1261,Monaco,0
1260,Moldova,0
1258,Mauritius,0
1251,Malawi,0
1256,Marshall Islands,0
1255,Malta,0
1254,Mali,0
1253,Maldives,0
1252,Malaysia,4
1280,Pakistan,0
1257,Mauritania,0
1264,Morocco,0
1271,Netherlands,0
1266,Namibia,0
1267,Nepal,1
1268,Netherlands,0
1269,Netherlands,0
1270,Netherlands,0
1272,Netherlands,0
1273,New Zealand,0
1274,Nicaragua,0
1275,Niger,0
1276,Nigeria,0
1277,North Macedonia,0
1278,Norway,0
1279,Oman,0
1250,Madagascar,0
1265,Mozambique,0
1249,MS Zaandam,0
1233,Jordan,0
1247,Lithuania,0
1281,Panama,0
1217,Guinea-Bissau,0
1218,Guyana,0
1219,Haiti,0
1220,Holy See,0
1221,Honduras,0
1222,Hungary,0
1223,Iceland,0
1224,India,0
1225,Indonesia,0
1226,Iran,0
1227,Iraq,0
1228,Ireland,0
1229,Israel,0
1248,Luxembourg,0
1230,Italy,0
1232,Japan,4
1234,Kazakhstan,0
1235,Kenya,0
1236,"Korea, South",3
1237,Kosovo,0
1238,Kuwait,0
1239,Kyrgyzstan,0
1240,Laos,0
1241,Latvia,0
1242,Lebanon,0
1243,Lesotho,0
1244,Liberia,0
1245,Libya,0
1246,Liechtenstein,0
1231,Jamaica,0
1283,Paraguay,0
1216,Guinea,0
1285,Philippines,0
1320,Timor-Leste,0
1321,Togo,0
1322,Trinidad and Tobago,0
1323,Tunisia,0
1324,Turkey,0
1325,US,5
1326,Uganda,0
1327,Ukraine,0
1328,United Arab Emirates,0
1329,United Kingdom,0
1330,United Kingdom,0
1331,United Kingdom,0
1332,United Kingdom,0
1333,United Kingdom,0
1319,Thailand,8
1334,United Kingdom,0
1336,United Kingdom,0
1337,United Kingdom,0
1338,United Kingdom,0
1339,United Kingdom,0
1340,Uruguay,0
1341,Uzbekistan,0
1342,Vanuatu,0
1343,Venezuela,0
1344,Vietnam,2
1345,West Bank and Gaza,0
1346,Western Sahara,0
1347,Yemen,0
1348,Zambia,0
1349,Zimbabwe,0
1335,United Kingdom,0
1284,Peru,0
1318,Tanzania,0
1316,Taiwan,4
1286,Poland,0
1287,Portugal,0
1288,Qatar,0
1289,Romania,0
1290,Russia,0
1291,Rwanda,0
1292,Saint Kitts and Nevis,0
1293,Saint Lucia,0
1294,Saint Vincent and the Grenadines,0
1295,San Marino,0
1296,Sao Tome and Principe,0
1297,Saudi Arabia,0
1298,Senegal,0
1299,Serbia,0
1317,Tajikistan,0
1300,Seychelles,0
1302,Singapore,4
1303,Slovakia,0
1304,Slovenia,0
1305,Solomon Islands,0
1306,Somalia,0
1307,South Africa,0
1308,South Sudan,0
